Economy_Label,2005_Metric_tons_in_thousands_Value,2005_Metric_tons_MissingValue,2006_Metric_tons_in_thousands_Value,2006_Metric_tons_MissingValue,2007_Metric_tons_in_thousands_Value,2007_Metric_tons_MissingValue,2008_Metric_tons_in_thousands_Value,2008_Metric_tons_MissingValue,2009_Metric_tons_in_thousands_Value,2009_Metric_tons_MissingValue,2010_Metric_tons_in_thousands_Value,2010_Metric_tons_MissingValue,2011_Metric_tons_in_thousands_Value,2011_Metric_tons_MissingValue,2012_Metric_tons_in_thousands_Value,2012_Metric_tons_MissingValue,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_MissingValue
"Mauritius",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mayotte",0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mexico",50,,52,,41,,43,,45,,50,,52,,56,,54,,30,,46,,47,,45,,38,,42,,66,,206,,185,,171,
"Micronesia (Federated States of)",0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
"Mongolia",0,,0,,0,,,,,,,,,,,,0,,0,,0,,,,,,0,,0,,,,0,,,,,
"Montenegro",,"Not applicable",,"Not applicable",,"Not applicable",0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Montserrat",,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,0,,,,,
"Morocco",10,,11,,14,,18,,15,,15,,13,,14,,15,,13,,13,,17,,11,,13,,16,,17,,18,,20,,17,
"Mozambique",1,,0,,0,,1,,0,,1,,1,,1,,2,,2,,0,,1,,2,,1,,4,,1,,1,,1,,1,
"Myanmar",,,,,,,,,,,0,,0,,1,,5,,1,,1,,1,,2,,3,,3,,10,,12,,12,,14,
"Namibia",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,
"Nepal",,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Netherlands (Kingdom of the)",213,,233,,229,,244,,150,,299,,378,,227,,250,,5,,594,,580,,624,,557,,584,,621,,763,,813,,785,
"Netherlands Antilles",0,,0,,0,,0,,,,,,,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"New Caledonia",0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,
"New Zealand",3,,4,,3,,3,,3,,5,,4,,5,,8,,6,,6,,6,,7,,7,,6,,5,,7,,4,,2,
"Nicaragua",1,,1,,2,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,1,,2,,3,,4,,2,,1,
"Niger",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Nigeria",,,1,,10,,21,,18,,14,,5,,6,,9,,78,,30,,13,,29,,17,,25,,14,,4,,4,,10,
"North Macedonia",1,,2,,3,,4,,3,,4,,5,,7,,8,,7,,4,,4,,4,,4,,4,,3,,2,,2,,0,
"Norway",0,,1,,4,,5,,0,,5,,2,,12,,8,,12,,1,,5,,0,,2,,10,,5,,7,,5,,0,
"Oman",1,,1,,1,,2,,3,,3,,4,,6,,4,,4,,4,,4,,7,,1,,17,,11,,7,,3,,3,
"Pakistan",37,,29,,33,,42,,27,,48,,60,,44,,37,,53,,34,,18,,25,,98,,3,,50,,69,,73,,60,
"Palau",,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
"Panama",2,,1,,0,,1,,0,,0,,2,,2,,1,,2,,2,,1,,1,,1,,0,,1,,2,,1,,0,
"Papua New Guinea",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,0,,0,,,,,
"Paraguay",0,,0,,1,,1,,1,,1,,0,,0,,0,,0,,0,,1,,2,,2,,3,,2,,2,,3,,6,
"Peru",1,,1,,2,,4,,2,,2,,4,,0,,0,,3,,4,,7,,6,,7,,10,,13,,11,,7,,10,
"Philippines",8,,5,,5,,2,,2,,1,,4,,5,,6,,3,,2,,5,,0,,12,,16,,10,,13,,6,,3,
"Poland",10,,52,,69,,44,,49,,114,,113,,68,,59,,63,,86,,119,,119,,166,,145,,148,,199,,223,,167,
"Portugal",14,,16,,15,,17,,15,,23,,57,,47,,54,,84,,137,,106,,113,,115,,102,,70,,30,,81,,56,
"Qatar",3,,3,,2,,2,,,,1,,,,2,,2,,1,,2,,1,,1,,0,,1,,0,,0,,0,,2,
"Republic of Korea",32,,23,,32,,58,,56,,61,,76,,78,,89,,74,,79,,71,,76,,164,,185,,106,,60,,48,,43,
"Republic of Moldova",0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,0,,0,,0,
"Romania",0,,0,,2,,6,,3,,6,,16,,24,,30,,39,,34,,57,,67,,85,,100,,72,,65,,67,,56,
"Russian Federation",5,,6,,6,,9,,6,,12,,12,,12,,16,,15,,21,,22,,17,,26,,48,,40,,41,,,,,
"Rwanda",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,,
"Saint Kitts and Nevis",0,,,,,,,,,,,,,,,,,"No value reported or collected",,"No value reported or collected",0,,0,,0,,,,,,,,,,,,,
"Saint Lucia",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
"Saint Vincent and the Grenadines",0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,0,,0,,0,,,,0,,0,
"Samoa",0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,
"Sao Tome and Principe",,,0,,,,0,,0,,0,,0,,0,,0,,,,0,,,,0,,0,,0,,,,0,,0,,,
"Saudi Arabia",10,,3,,6,,6,,9,,12,,17,,18,,17,,9,,21,,22,,22,,18,,28,,1,,17,,24,,28,
"Senegal",0,,0,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,1,,2,,5,,1,,1,,0,,0,
"Serbia",,"Not applicable",,"Not applicable",,"Not applicable",3,,1,,1,,2,,1,,0,,2,,4,,10,,9,,18,,21,,34,,22,,23,,22,
"Serbia and Montenegro",,,2,,2,,,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"Seychelles",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,1,,0,,0,,1,,1,,,,,,,,,,,
"Singapore",15,,9,,12,,8,,5,,4,,4,,5,,5,,6,,5,,3,,8,,9,,4,,6,,1,,1,,0,
"Slovakia",14,,9,,8,,11,,122,,85,,13,,3,,3,,42,,12,,11,,11,,11,,22,,9,,13,,13,,47,
"Slovenia",10,,16,,20,,26,,29,,40,,40,,46,,63,,91,,93,,95,,88,,65,,105,,104,,121,,167,,116,
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,0,,0,,0,,1,,,,,,,,,,,
"South Africa",5,,3,,3,,2,,3,,7,,6,,7,,7,,7,,9,,6,,8,,18,,17,,10,,13,,16,,12,
"Spain",51,,62,,63,,4,,55,,46,,25,,50,,38,,37,,86,,34,,108,,66,,81,,74,,40,,50,,44,
"Sri Lanka",4,,2,,3,,2,,3,,3,,3,,3,,2,,4,,4,,4,,6,,,,5,,5,,7,,5,,4,
"State of Palestine",,,,,0,,,,,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,0,,0,,0,
"Sudan",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",0,,0,,0,,0,,0,,1,,0,,,,,,,,,,,
